Riyadh;24.7136;46.6753;48.17;C;17.50;p;1026.12;mb;26.25;m;01/01/2012
Jeddah;21.2854;39.2376;30.73;C;31.81;p;1212.84;mb;27.40;m;01/01/2012
Makkah;21.3891;39.8579;35.42;C;20.99;p;1113.31;mb;22.37;m;01/01/2012
Madinah;24.5247;39.5692;38.58;C;15.61;p;1036.57;mb;22.62;m;01/01/2012
Abha;18.2465;42.5117;24.24;C;22.11;p;1066.43;mb;23.76;m;01/01/2012
Riyadh;24.7136;46.6753;40.48;C;18.24;p;1004.23;mb;23.10;m;02/01/2012
Jeddah;21.2854;39.2376;31.26;C;30.98;p;1216.03;mb;28.68;m;02/01/2012
Makkah;21.3891;39.8579;36.67;C;22.92;p;1148.43;mb;25.74;m;02/01/2012
Madinah;24.5247;39.5692;44.17;C;12.29;p;1030.75;mb;22.39;m;02/01/2012
Abha;18.2465;42.5117;22.48;C;24.71;p;1080.13;mb;23.55;m;02/01/2012
Riyadh;24.7136;46.6753;47.88;C;20.40;p;1019.61;mb;21.16;m;03/01/2012
Jeddah;21.2854;39.2376;34.59;C;34.91;p;1209.14;mb;29.02;m;03/01/2012
Makkah;21.3891;39.8579;27.08;C;23.98;p;1123.68;mb;22.67;m;03/01/2012
Madinah;24.5247;39.5692;42.49;C;13.70;p;1042.62;mb;28.26;m;03/01/2012
Abha;18.2465;42.5117;30.57;C;21.53;p;1040.08;mb;29.51;m;03/01/2012
Riyadh;24.7136;46.6753;46.60;C;20.63;p;1036.00;mb;28.52;m;04/01/2012
Jeddah;21.2854;39.2376;35.69;C;30.95;p;1234.02;mb;24.50;m;04/01/2012
Makkah;21.3891;39.8579;32.67;C;24.23;p;1133.19;mb;24.20;m;04/01/2012
Madinah;24.5247;39.5692;42.98;C;12.17;p;1007.08;mb;29.37;m;04/01/2012
Abha;18.2465;42.5117;28.88;C;22.79;p;1045.62;mb;29.23;m;04/01/2012
Riyadh;24.7136;46.6753;44.42;C;18.25;p;1002.36;mb;20.82;m;05/01/2012
Jeddah;21.2854;39.2376;35.18;C;34.96;p;1231.79;mb;25.83;m;05/01/2012
Makkah;21.3891;39.8579;35.43;C;21.68;p;1139.68;mb;20.25;m;05/01/2012
Madinah;24.5247;39.5692;36.40;C;15.02;p;1001.98;mb;22.50;m;05/01/2012
Abha;18.2465;42.5117;28.98;C;23.82;p;1086.47;mb;26.20;m;05/01/2012
Riyadh;24.7136;46.6753;43.55;C;18.67;p;1034.93;mb;26.30;m;06/01/2012
Jeddah;21.2854;39.2376;32.02;C;31.50;p;1232.57;mb;20.97;m;06/01/2012
Makkah;21.3891;39.8579;34.99;C;21.83;p;1105.89;mb;27.24;m;06/01/2012
Madinah;24.5247;39.5692;37.40;C;16.25;p;1049.54;mb;25.27;m;06/01/2012
Abha;18.2465;42.5117;26.73;C;20.82;p;1087.98;mb;24.83;m;06/01/2012
Riyadh;24.7136;46.6753;46.78;C;17.95;p;1027.66;mb;27.43;m;07/01/2012
Jeddah;21.2854;39.2376;33.63;C;33.81;p;1201.27;mb;29.67;m;07/01/2012
Makkah;21.3891;39.8579;27.47;C;20.63;p;1146.32;mb;26.08;m;07/01/2012
Madinah;24.5247;39.5692;35.80;C;14.57;p;1046.51;mb;25.10;m;07/01/2012
Abha;18.2465;42.5117;23.74;C;24.60;p;1045.93;mb;27.73;m;07/01/2012
Riyadh;24.7136;46.6753;46.87;C;20.65;p;1022.86;mb;26.71;m;08/01/2012
Jeddah;21.2854;39.2376;35.68;C;30.52;p;1232.02;mb;23.28;m;08/01/2012
Makkah;21.3891;39.8579;28.44;C;24.84;p;1141.69;mb;29.90;m;08/01/2012
Madinah;24.5247;39.5692;40.94;C;16.75;p;1004.71;mb;29.75;m;08/01/2012
Abha;18.2465;42.5117;22.51;C;24.33;p;1060.61;mb;28.07;m;08/01/2012
Riyadh;24.7136;46.6753;47.59;C;18.17;p;1019.18;mb;26.30;m;09/01/2012
Jeddah;21.2854;39.2376;36.03;C;33.87;p;1224.91;mb;26.86;m;09/01/2012
Makkah;21.3891;39.8579;33.38;C;20.53;p;1145.31;mb;26.01;m;09/01/2012
Madinah;24.5247;39.5692;44.45;C;15.14;p;1015.65;mb;21.86;m;09/01/2012
Abha;18.2465;42.5117;24.60;C;20.63;p;1057.26;mb;27.23;m;09/01/2012
Riyadh;24.7136;46.6753;43.47;C;20.75;p;1016.38;mb;20.26;m;10/01/2012
Jeddah;21.2854;39.2376;39.93;C;34.22;p;1245.93;mb;21.04;m;10/01/2012
Makkah;21.3891;39.8579;35.72;C;22.90;p;1122.89;mb;28.91;m;10/01/2012
Madinah;24.5247;39.5692;37.26;C;14.28;p;1010.21;mb;23.77;m;10/01/2012
Abha;18.2465;42.5117;26.72;C;22.46;p;1082.92;mb;24.09;m;10/01/2012
Riyadh;24.7136;46.6753;44.18;C;19.08;p;1045.01;mb;26.01;m;11/01/2012
Jeddah;21.2854;39.2376;36.75;C;30.97;p;1215.19;mb;20.73;m;11/01/2012
Makkah;21.3891;39.8579;29.88;C;20.21;p;1106.81;mb;21.97;m;11/01/2012
Madinah;24.5247;39.5692;38.02;C;13.98;p;1019.78;mb;21.13;m;11/01/2012
Abha;18.2465;42.5117;24.22;C;22.40;p;1049.89;mb;25.82;m;11/01/2012
Riyadh;24.7136;46.6753;48.78;C;20.51;p;1004.12;mb;26.06;m;12/01/2012
Jeddah;21.2854;39.2376;31.76;C;32.97;p;1238.88;mb;23.80;m;12/01/2012
Makkah;21.3891;39.8579;33.74;C;24.80;p;1111.64;mb;23.24;m;12/01/2012
Madinah;24.5247;39.5692;41.43;C;15.10;p;1005.80;mb;23.56;m;12/01/2012
Abha;18.2465;42.5117;27.48;C;22.43;p;1052.39;mb;21.07;m;12/01/2012
Riyadh;24.7136;46.6753;44.73;C;20.26;p;1032.32;mb;24.76;m;13/01/2012
Jeddah;21.2854;39.2376;30.08;C;34.52;p;1247.63;mb;27.72;m;13/01/2012
Makkah;21.3891;39.8579;33.07;C;21.56;p;1100.25;mb;27.30;m;13/01/2012
Madinah;24.5247;39.5692;36.84;C;14.71;p;1012.77;mb;28.21;m;13/01/2012
Abha;18.2465;42.5117;22.16;C;20.89;p;1066.10;mb;26.19;m;13/01/2012
Riyadh;24.7136;46.6753;46.28;C;19.93;p;1015.51;mb;24.87;m;14/01/2012
Jeddah;21.2854;39.2376;34.01;C;33.96;p;1227.74;mb;24.38;m;14/01/2012
Makkah;21.3891;39.8579;28.12;C;22.37;p;1108.74;mb;28.65;m;14/01/2012
Madinah;24.5247;39.5692;39.51;C;13.73;p;1013.93;mb;27.64;m;14/01/2012
Abha;18.2465;42.5117;30.65;C;21.03;p;1049.94;mb;21.64;m;14/01/2012
Riyadh;24.7136;46.6753;47.23;C;18.85;p;1039.81;mb;27.90;m;15/01/2012
Jeddah;21.2854;39.2376;39.10;C;32.75;p;1231.64;mb;23.41;m;15/01/2012
Makkah;21.3891;39.8579;31.19;C;24.98;p;1133.97;mb;23.94;m;15/01/2012
Madinah;24.5247;39.5692;39.30;C;13.67;p;1009.81;mb;26.41;m;15/01/2012
Abha;18.2465;42.5117;28.40;C;23.28;p;1055.48;mb;20.83;m;15/01/2012
Riyadh;24.7136;46.6753;43.50;C;18.52;p;1029.48;mb;28.08;m;16/01/2012
Jeddah;21.2854;39.2376;38.95;C;31.31;p;1231.24;mb;22.32;m;16/01/2012
Makkah;21.3891;39.8579;32.45;C;21.12;p;1109.74;mb;29.92;m;16/01/2012
Madinah;24.5247;39.5692;44.30;C;13.13;p;1007.04;mb;22.26;m;16/01/2012
Abha;18.2465;42.5117;25.59;C;20.98;p;1062.30;mb;26.17;m;16/01/2012
Riyadh;24.7136;46.6753;41.69;C;21.43;p;1017.96;mb;24.32;m;17/01/2012
Jeddah;21.2854;39.2376;33.58;C;32.11;p;1230.64;mb;27.33;m;17/01/2012
Makkah;21.3891;39.8579;30.25;C;20.96;p;1146.13;mb;21.21;m;17/01/2012
Madinah;24.5247;39.5692;39.96;C;16.04;p;1049.20;mb;26.15;m;17/01/2012
Abha;18.2465;42.5117;31.73;C;23.48;p;1046.73;mb;27.58;m;17/01/2012
Riyadh;24.7136;46.6753;41.15;C;17.98;p;1034.37;mb;26.40;m;18/01/2012
